Model,Manufacturer,Architecture,Foundry,ReleaseDate,TransistorCount_B,TDP_W,ProcessSize_nm,DieSize_mm2,TFLOPS,MemoryBandwidth_GBs,BaseClock_MHz,BoostClock_MHz,TransistorDensity_M_mm2,MemorySize_GB,MemoryType,ShadingUnits
TU117,NVIDIA,Turing,TSMC,2020-04-02,4.7,50,12,200.0,2.458,160.0,1035.0,1200.0,23.5,4.0,GDDR6,1024
TU117,NVIDIA,Turing,TSMC,2020-04-02,4.7,50,12,200.0,3.041,192.0,1350.0,1485.0,23.5,4.0,GDDR6,1024
TU106,NVIDIA,Turing,TSMC,2020-06-18,10.8,90,12,445.0,2.849,192.0,1410.0,1590.0,24.3,4.0,GDDR6,896
TU116,NVIDIA,Turing,TSMC,2020-07-07,6.6,80,12,284.0,2.849,192.0,1410.0,1590.0,23.2,4.0,GDDR6,896
GP108B,NVIDIA,Pascal,Samsung,2020-02-10,1.8,10,14,74.0,1.2242,56.06,1531.0,1594.0,24.3,2.0,GDDR5,384
GP107S,NVIDIA,Pascal,Samsung,2020-02-10,3.3,20,14,132.0,1.1994,56.06,747.0,937.0,25.0,2.0,GDDR5,640
TU117S,NVIDIA,Turing,TSMC,2020-08-15,4.7,12,12,200.0,1.667,80.0,720.0,930.0,23.5,2.0,GDDR6,896
TU117S,NVIDIA,Turing,TSMC,2020-08-25,4.7,31,12,200.0,2.822,80.0,1395.0,1575.0,23.5,2.0,GDDR6,896
TU117S,NVIDIA,Turing,TSMC,2020-08-25,4.7,31,12,200.0,2.285,64.0,1035.0,1275.0,23.5,2.0,GDDR5,896
TU106,NVIDIA,Turing,TSMC,2020-01-29,10.8,65,12,445.0,4.55,264.0,975.0,1185.0,24.3,6.0,GDDR6,1920
TU104,NVIDIA,Turing,TSMC,2020-01-10,13.6,160,12,545.0,6.451,336.0,1365.0,1680.0,25.0,6.0,GDDR6,1920
TU106B,NVIDIA,Turing,TSMC,2020-03-04,10.8,115,12,445.0,5.184,352.0,900.0,1125.0,24.3,8.0,GDDR6,2304
TU106B,NVIDIA,Turing,TSMC,2020-03-04,10.8,115,12,445.0,6.705,352.0,1260.0,1455.0,24.3,8.0,GDDR6,2304
TU104,NVIDIA,Turing,TSMC,2020-04-02,13.6,80,12,545.0,5.914,352.0,930.0,1155.0,25.0,8.0,GDDR6,2560
TU104,NVIDIA,Turing,TSMC,2020-04-02,13.6,115,12,545.0,7.066,448.0,1140.0,1380.0,25.0,8.0,GDDR6,2560
TU104,NVIDIA,Turing,TSMC,2020-04-02,13.6,80,12,545.0,5.99,352.0,735.0,975.0,25.0,8.0,GDDR6,3072
TU104,NVIDIA,Turing,TSMC,2020-04-02,13.6,150,12,545.0,9.585,448.0,1365.0,1560.0,25.0,8.0,GDDR6,3072
GA104,NVIDIA,Ampere,Samsung,2020-12-01,17.4,200,8,392.0,16.2,448.0,1410.0,1665.0,44.4,8.0,GDDR6,4864
GA104,NVIDIA,Ampere,Samsung,2020-09-01,17.4,220,8,392.0,20.31,448.0,1500.0,1725.0,44.4,8.0,GDDR6,5888
GA102,NVIDIA,Ampere,Samsung,2020-09-01,28.3,320,8,628.0,29.77,760.3,1440.0,1710.0,45.1,10.0,GDDR6X,8704
GA102,NVIDIA,Ampere,Samsung,2020-09-01,28.3,350,8,628.0,35.58,936.2,1395.0,1695.0,45.1,24.0,GDDR6X,10496
GA100,NVIDIA,Ampere,TSMC,2020-05-14,54.2,400,7,826.0,19.49,1870.0,1095.0,1410.0,65.59999999999998,32.0,HBM2e,6912
GA100,NVIDIA,Ampere,TSMC,2020-05-14,54.2,400,7,826.0,13.89,1870.0,900.0,1005.0,65.59999999999998,48.0,HBM2e,6912
TU102,NVIDIA,Turing,TSMC,2020-01-01,18.6,150,12,754.0,9.999,672.0,1065.0,1395.0,24.7,2.0,GDDR6,3584
TU102,NVIDIA,Turing,TSMC,2020-01-01,18.6,150,12,754.0,9.999,672.0,1065.0,1395.0,24.7,4.0,GDDR6,3584
GV10B,NVIDIA,Volta,TSMC,2020-05-14,9.0,20,12,350.0,0.8448,59.71,854.0,1100.0,25.7,16.0,LPDDR4X,384
GV10B,NVIDIA,Volta,TSMC,2020-05-14,9.0,15,12,350.0,0.8448,59.71,854.0,1100.0,25.7,8.0,LPDDR4X,384
TU104B,NVIDIA,Turing,TSMC,2020-06-08,13.6,110,12,545.0,9.4,448.0,1035.0,1530.0,25.0,16.0,GDDR6,3072
TU104,NVIDIA,Turing,TSMC,2020-06-08,13.6,110,12,545.0,9.4,448.0,1035.0,1530.0,25.0,16.0,GDDR6,3072
TU117,NVIDIA,Turing,TSMC,2020-06-08,4.7,50,12,200.0,2.957,192.0,1395.0,1650.0,23.5,4.0,GDDR6,896
GA102,NVIDIA,Ampere,Samsung,2020-10-05,28.3,300,8,628.0,38.71,768.0,1410.0,1800.0,45.1,48.0,GDDR6,10752
TU117,NVIDIA,Turing,TSMC,2020-12-02,4.7,18,12,200.0,2.554,80.0,795.0,1425.0,23.5,4.0,GDDR6,896
TU117,NVIDIA,Turing,TSMC,2020-12-02,4.7,18,12,200.0,2.796,80.0,1185.0,1560.0,23.5,4.0,GDDR6,896
TU102,NVIDIA,Turing,TSMC,2020-01-01,18.6,150,12,754.0,9.999,403.2,1065.0,1395.0,24.7,16.0,GDDR6,3584
Kryptos,AMD,GCN 1.0,TSMC,2020-03-13,,100,16,,1.765,68.22,935.0,985.0,,8.0,DDR3,896
Banded Kestrel,AMD,GCN 5.0,GlobalFoundries,2020-12-14,,15,14,149.0,0.4612,38.4,300.0,1201.0,,4.0,DDR4,192
Banded Kestrel,AMD,GCN 5.0,GlobalFoundries,2020-12-14,,15,14,149.0,0.4612,38.4,300.0,1201.0,,8.0,DDR4,192
Oberon Plus,AMD,RDNA 2.0,TSMC,2022-09-28,10.6,180,6,260.0,10.29,448.0,2233.0,2233.0,40.8,16.0,GDDR6,2304
Renoir-M,AMD,GCN 5.1,TSMC,2020-01-06,9.8,15,7,156.0,0.896,,400.0,1400.0,62.8,,System Shared,320
Cezanne-M,AMD,GCN 5.1,TSMC,2021-04-13,9.8,45,7,180.0,1.2288,,300.0,1600.0,54.4,,System Shared,384
Cezanne,AMD,GCN 5.1,TSMC,2021-04-13,9.8,45,7,180.0,1.702,,300.0,1900.0,54.4,,System Shared,448
Barcelo,AMD,GCN 5.1,TSMC,2022-01-06,10.7,45,7,180.0,1.613,,300.0,1800.0,59.4,,System Shared,448
Cezanne,AMD,GCN 5.1,TSMC,2021-01-12,9.8,45,7,180.0,2.048,,300.0,2000.0,54.4,,System Shared,512
Barcelo,AMD,GCN 5.1,TSMC,2022-01-06,10.7,45,7,180.0,2.048,,300.0,2000.0,59.4,,System Shared,512
Arcturus,AMD,CDNA 1.0,TSMC,2020-11-16,25.6,300,7,750.0,23.07,1230.0,1000.0,1502.0,34.1,32.0,HBM2,7680
Navi 14,AMD,RDNA 1.0,TSMC,2020-08-04,6.4,85,7,158.0,4.224,224.0,1000.0,1650.0,40.5,4.0,GDDR6,1280
Navi 14,AMD,RDNA 1.0,TSMC,2020-08-04,6.4,125,7,158.0,5.398,224.0,1187.0,1757.0,40.5,8.0,GDDR6,1536
Navi 12,AMD,RDNA 1.0,TSMC,2020-06-15,,50,7,,5.857,394.2,822.0,1144.0,,8.0,HBM2,2560
Navi 10,AMD,RDNA 1.0,TSMC,2020-08-04,10.3,130,7,251.0,6.221,384.0,1243.0,1350.0,41.0,8.0,GDDR6,2304
Navi 10,AMD,RDNA 1.0,TSMC,2020-08-04,10.3,130,7,251.0,7.675,384.0,1243.0,1499.0,41.0,16.0,GDDR6,2560
Navi 12,AMD,RDNA 1.0,TSMC,2020-12-01,,225,7,,7.373,512.0,1000.0,1600.0,,8.0,HBM2,2304
Vega 20,AMD,GCN 5.1,TSMC,2020-05-13,13.23,250,7,331.0,13.06,1020.0,1400.0,1700.0,40.0,16.0,HBM2,3840
Navi 14,AMD,RDNA 1.0,TSMC,2020-02-10,6.4,125,7,158.0,5.224,224.0,1744.0,1855.0,40.5,8.0,GDDR6,1408
Navi 14,AMD,RDNA 1.0,TSMC,2020-02-10,6.4,85,7,158.0,4.632,224.0,1448.0,1645.0,40.5,4.0,GDDR6,1408
Navi 14,AMD,RDNA 1.0,TSMC,2020-05-28,6.4,100,7,158.0,4.632,168.0,1327.0,1645.0,40.5,3.0,GDDR6,1408
Navi 10,AMD,RDNA 1.0,TSMC,2020-01-21,10.3,125,7,251.0,6.39,288.0,1130.0,1560.0,41.0,6.0,GDDR6,2048
Navi 10,AMD,RDNA 1.0,TSMC,2020-01-21,10.3,150,7,251.0,7.188,288.0,1130.0,1560.0,41.0,6.0,GDDR6,2304
Navi 10,AMD,RDNA 1.0,TSMC,2020-07-07,10.3,150,7,251.0,5.829,288.0,1035.0,1265.0,41.0,6.0,GDDR6,2304
Navi 10,AMD,RDNA 1.0,TSMC,2020-03-01,10.3,180,7,251.0,7.926,384.0,1465.0,1720.0,41.0,8.0,GDDR6,2304
Polaris 20,AMD,GCN 4.0,GlobalFoundries,2020-03-09,5.7,175,14,232.0,6.543,256.0,1257.0,1420.0,24.6,8.0,GDDR5,2304
Polaris 23,AMD,GCN 4.0,GlobalFoundries,2020-04-09,2.2,50,14,103.0,1.658,96.0,1295.0,1295.0,21.4,4.0,GDDR5,640
Navi 21,AMD,RDNA 2.0,TSMC,2020-10-28,26.8,250,7,520.0,16.17,512.0,1700.0,2105.0,51.5,16.0,GDDR6,3840
Navi 21,AMD,RDNA 2.0,TSMC,2020-10-28,26.8,300,7,520.0,20.74,512.0,1825.0,2250.0,51.5,16.0,GDDR6,4608
Navi 21,AMD,RDNA 2.0,TSMC,2020-10-28,26.8,300,7,520.0,23.04,512.0,1825.0,2250.0,51.5,16.0,GDDR6,5120
Lockhart,AMD,RDNA 2.0,TSMC,2020-11-10,8.0,100,7,197.0,4.006,224.0,1565.0,1565.0,40.6,8.0,GDDR6,1280
Scarlett,AMD,RDNA 2.0,TSMC,2020-11-10,15.3,200,7,360.0,12.15,560.0,1825.0,1825.0,42.5,10.0,GDDR6,3328
DG1,Intel,Generation 12.1,Intel,2020-11-11,,300,10,95.0,1.69,68.26,1050.0,1100.0,,8.0,LPDDR4X,768
Ice Lake GT2,Intel,Generation 11.0,Intel,2020-05-04,,15,10,,1.0752000000000002,,300.0,1050.0,,,System Shared,512
Tiger Lake GT2,Intel,Generation 12.1,Intel,2020-09-02,,15,10,146.0,0.8448,,300.0,1100.0,,,System Shared,384
Tiger Lake GT2,Intel,Generation 12.1,Intel,2020-09-02,,15,10,146.0,1.408,,300.0,1100.0,,,System Shared,640
Tiger Lake GT2,Intel,Generation 12.1,Intel,2020-09-02,,15,10,146.0,1.69,,300.0,1100.0,,,System Shared,768
DG1,Intel,Generation 12.1,Intel,2020-10-31,,25,10,95.0,2.534,68.26,300.0,1650.0,,4.0,LPDDR4X,768
Alder Lake,Intel,Generation 12.2,Intel,2022-01-04,,15,10,,0.3072,,300.0,1200.0,,,System Shared,128
Tiger Lake GT1,Intel,Generation 12.1,Intel,2021-01-01,,15,10,,0.6912,,350.0,1350.0,,,System Shared,256
Lakefield GT1,Intel,Generation 11.0,Intel,2020-05-28,,15,10,,0.384,,200.0,500.0,,,System Shared,384
Lakefield GT2,Intel,Generation 11.0,Intel,2020-05-28,,15,10,,0.512,,200.0,500.0,,,System Shared,512
DG1,Intel,Generation 12.1,Intel,2020-01-01,,30,10,95.0,1.984,68.26,900.0,1550.0,,4.0,LPDDR4X,640
GA102,NVIDIA,Ampere,Samsung,2021-04-12,28.3,150,8,628.0,31.24,600.2,885.0,1695.0,45.1,24.0,GDDR6,9216
GA100,NVIDIA,Ampere,TSMC,2021-06-28,54.2,300,7,826.0,19.49,1940.0,1065.0,1410.0,65.59999999999998,80.0,HBM2e,6912
GA100,NVIDIA,Ampere,TSMC,2021-06-28,54.2,300,7,826.0,19.91,2040.0,795.0,1440.0,65.59999999999998,80.0,HBM2e,6912
GA102,NVIDIA,Ampere,Samsung,2021-04-12,28.3,150,8,628.0,31.52,600.2,1320.0,1710.0,45.1,24.0,GDDR6,9216
GA107,NVIDIA,Ampere,Samsung,2021-04-12,8.7,250,8,200.0,4.493,200.1,1312.0,1755.0,43.5,16.0,GDDR6,1280
GA107,NVIDIA,Ampere,Samsung,2021-11-10,8.7,60,8,200.0,4.531,200.1,1440.0,1770.0,43.5,16.0,GDDR6,1280
GA107,NVIDIA,Ampere,Samsung,2021-11-10,8.7,60,8,200.0,4.531,200.1,1440.0,1770.0,43.5,16.0,GDDR6,1280
GA100,NVIDIA,Ampere,TSMC,2021-04-12,54.2,165,7,826.0,10.32,933.1,930.0,1440.0,65.59999999999998,24.0,HBM2e,3584
GA100,NVIDIA,Ampere,TSMC,2021-04-12,54.2,230,7,826.0,10.32,1220.0,1035.0,1440.0,65.59999999999998,24.0,HBM2e,3584
GA100,NVIDIA,Ampere,TSMC,2021-09-01,54.2,250,7,826.0,12.63,1560.0,1140.0,1410.0,65.59999999999998,10.0,HBM2e,4480
GA100,NVIDIA,Ampere,TSMC,2021-09-01,54.2,250,7,826.0,12.63,1490.0,1140.0,1410.0,65.59999999999998,8.0,HBM2e,4480
TU116,NVIDIA,Turing,TSMC,2021-02-25,6.6,125,12,284.0,5.027,336.0,1530.0,1785.0,23.2,6.0,GDDR6,1408
TU106,NVIDIA,Turing,TSMC,2021-02-25,10.8,185,12,445.0,7.603,448.0,1470.0,1650.0,24.3,8.0,GDDR6,2304
TU102,NVIDIA,Turing,TSMC,2021-06-24,18.6,250,12,754.0,11.07,560.0,1350.0,1545.0,24.7,10.0,GDDR6,3584
GA104,NVIDIA,Ampere,Samsung,2021-01-01,17.4,,8,392.0,10.71,608.3,1365.0,1395.0,44.4,8.0,GDDR6X,3840
GA102,NVIDIA,Ampere,Samsung,2021-07-28,28.3,320,8,628.0,21.89,760.3,1500.0,1710.0,45.1,10.0,GDDR6X,6400
GP108,NVIDIA,Pascal,Samsung,2021-01-13,1.8,30,14,74.0,0.7516,48.06,1228.0,1468.0,24.3,2.0,GDDR5,256
GP108,NVIDIA,Pascal,Samsung,2021-01-13,1.8,20,14,74.0,0.7066,16.8,1152.0,1380.0,24.3,2.0,DDR4,256
TU117SB,NVIDIA,Turing,TSMC,2021-12-17,4.7,25,12,200.0,2.703,96.0,1065.0,1320.0,23.5,2.0,GDDR6,1024
GA107S,NVIDIA,Ampere,Samsung,2021-12-17,8.7,15,8,200.0,4.731,96.0,832.0,1155.0,43.5,2.0,GDDR6,2048
GA107SB,NVIDIA,Ampere,Samsung,2021-12-17,8.7,25,8,200.0,4.731,96.0,832.0,1155.0,43.5,2.0,GDDR6,2048
GA107,NVIDIA,Ampere,Samsung,2021-12-17,8.7,30,8,200.0,4.731,94.4,832.0,1155.0,43.5,4.0,GDDR6,2048
GA107,NVIDIA,Ampere,Samsung,2021-12-17,8.7,30,8,200.0,5.1,112.0,735.0,1245.0,43.5,4.0,GDDR6,2048
TU106,NVIDIA,Turing,TSMC,2021-12-07,10.8,184,12,445.0,7.181,336.0,1470.0,1650.0,24.3,12.0,GDDR6,2176
GA107,NVIDIA,Ampere,Samsung,2021-05-11,8.7,35,8,200.0,4.328999999999999,176.0,712.0,1057.0,43.5,4.0,GDDR6,2048
GA107,NVIDIA,Ampere,Samsung,2021-05-11,8.7,45,8,200.0,5.501,192.0,1065.0,1343.0,43.5,4.0,GDDR6,2048
GA107,NVIDIA,Ampere,Samsung,2021-05-11,8.7,75,8,200.0,5.299,176.0,735.0,1035.0,43.5,4.0,GDDR6,2560
GA106,NVIDIA,Ampere,Samsung,2021-05-11,12.0,75,8,276.0,5.299,192.0,735.0,1035.0,43.5,4.0,GDDR6,2560
GA106,NVIDIA,Ampere,Samsung,2021-01-12,12.0,170,8,276.0,12.74,360.0,1320.0,1777.0,43.5,12.0,GDDR6,3584
GA104,NVIDIA,Ampere,Samsung,2021-09-01,17.4,170,8,392.0,12.74,360.0,1320.0,1777.0,44.4,12.0,GDDR6,3584
GA106,NVIDIA,Ampere,Samsung,2021-01-01,12.0,185,8,276.0,14.22,336.0,1627.0,1852.0,43.5,6.0,GDDR6,3840
GA106,NVIDIA,Ampere,Samsung,2021-01-12,12.0,60,8,276.0,9.846,288.0,817.0,1282.0,43.5,6.0,GDDR6,3840
GA106,NVIDIA,Ampere,Samsung,2021-01-12,12.0,80,8,276.0,10.94,336.0,900.0,1425.0,43.5,6.0,GDDR6,3840
GA104,NVIDIA,Ampere,Samsung,2021-01-12,17.4,80,8,392.0,13.21,384.0,780.0,1290.0,44.4,8.0,GDDR6,5120
GA104,NVIDIA,Ampere,Samsung,2021-01-12,17.4,115,8,392.0,15.97,448.0,1110.0,1560.0,44.4,8.0,GDDR6,5120
GA104,NVIDIA,Ampere,Samsung,2021-05-31,17.4,290,8,392.0,21.75,608.3,1575.0,1770.0,44.4,8.0,GDDR6X,6144
GA104,NVIDIA,Ampere,Samsung,2021-01-12,17.4,80,8,392.0,15.3,384.0,780.0,1245.0,44.4,8.0,GDDR6,6144
GA104,NVIDIA,Ampere,Samsung,2021-01-12,17.4,115,8,392.0,18.98,448.0,1110.0,1545.0,44.4,8.0,GDDR6,6144
GA102,NVIDIA,Ampere,Samsung,2021-05-31,28.3,350,8,628.0,34.1,912.4,1365.0,1665.0,45.1,12.0,GDDR6X,10240
GA100,NVIDIA,Ampere,TSMC,2021-04-12,54.2,165,7,826.0,10.32,933.1,930.0,1440.0,65.59999999999998,24.0,HBM2,3584
GA100,NVIDIA,Ampere,TSMC,2021-04-12,54.2,165,7,826.0,10.32,933.1,930.0,1440.0,65.59999999999998,24.0,HBM2,3584
GA100,NVIDIA,Ampere,TSMC,2021-04-12,54.2,165,7,826.0,10.32,933.1,930.0,1440.0,65.59999999999998,24.0,HBM2,3584
GA100,NVIDIA,Ampere,TSMC,2021-04-12,54.2,165,7,826.0,10.32,933.1,930.0,1440.0,65.59999999999998,24.0,HBM2,3584
TU117,NVIDIA,Turing,TSMC,2021-04-12,4.7,18,12,200.0,2.918,160.0,855.0,1425.0,23.5,4.0,GDDR6,1024
TU117,NVIDIA,Turing,TSMC,2021-04-12,4.7,18,12,200.0,3.656,192.0,1515.0,1785.0,23.5,4.0,GDDR6,1024
GA106,NVIDIA,Ampere,Samsung,2021-08-10,12.0,70,8,276.0,7.987,288.0,562.0,1200.0,43.5,6.0,GDDR6,3328
GA106,NVIDIA,Ampere,Samsung,2021-11-23,12.0,70,8,276.0,7.987,288.0,562.0,1200.0,43.5,12.0,GDDR6,3328
GA107,NVIDIA,Ampere,Samsung,2021-04-12,8.7,95,8,200.0,6.18,176.0,682.0,1207.0,43.5,4.0,GDDR6,2560
GA107,NVIDIA,Ampere,Samsung,2021-04-12,8.7,95,8,200.0,6.026,176.0,607.0,1177.0,43.5,8.0,GDDR6,2560
GA107,NVIDIA,Ampere,Samsung,2021-04-12,8.7,95,8,200.0,8.637,192.0,1215.0,1687.0,43.5,4.0,GDDR6,2560
GA107,NVIDIA,Ampere,Samsung,2021-04-12,8.7,95,8,200.0,8.253,224.0,1117.0,1612.0,43.5,8.0,GDDR6,2560
GA104,NVIDIA,Ampere,Samsung,2021-04-12,17.4,70,8,392.0,10.08,264.0,600.0,1230.0,44.4,6.0,GDDR6,4096
GA104,NVIDIA,Ampere,Samsung,2022-03-22,17.4,115,8,392.0,11.8,336.0,855.0,1440.0,44.4,12.0,GDDR6,4096
GA107,NVIDIA,Ampere,Samsung,2021-04-12,8.7,,8,200.0,7.25,224.0,1297.0,1770.0,43.5,4.0,GDDR6,2048
GA104,NVIDIA,Ampere,Samsung,2021-04-12,17.4,140,8,392.0,19.17,448.0,735.0,1560.0,44.4,16.0,GDDR6,6144
GA104,NVIDIA,Ampere,Samsung,2021-04-12,17.4,80,8,392.0,14.28,352.0,780.0,1395.0,44.4,8.0,GDDR6,5120
GA104,NVIDIA,Ampere,Samsung,2021-04-12,17.4,115,8,392.0,17.2,384.0,1140.0,1680.0,44.4,8.0,GDDR6,5120
GA104,NVIDIA,Ampere,Samsung,2021-04-12,17.4,140,8,392.0,19.17,448.0,735.0,1560.0,44.4,16.0,GDDR6,6144
GA102,NVIDIA,Ampere,Samsung,2021-11-23,28.3,200,8,628.0,23.65,640.0,1050.0,1650.0,45.1,20.0,GDDR6,7168
GA107,NVIDIA,Ampere,Samsung,2021-11-10,8.7,60,8,200.0,7.25,112.0,1440.0,1770.0,43.5,4.0,GDDR6,2048
GA102,NVIDIA,Ampere,Samsung,2021-04-12,28.3,230,8,628.0,27.77,768.0,1170.0,1695.0,45.1,24.0,GDDR6,8192
GA104,NVIDIA,Ampere,Samsung,2021-04-12,17.4,80,8,392.0,16.59,384.0,720.0,1350.0,44.4,16.0,GDDR6,6144
GA104,NVIDIA,Ampere,Samsung,2021-04-12,17.4,150,8,392.0,19.35,448.0,900.0,1575.0,44.4,16.0,GDDR6,6144
GA102,NVIDIA,Ampere,Samsung,2021-04-12,28.3,230,8,628.0,27.77,768.0,1170.0,1695.0,45.1,12.0,GDDR6,8192
GA102,NVIDIA,Ampere,Samsung,2021-04-12,28.3,230,8,628.0,27.77,768.0,1170.0,1695.0,45.1,8.0,GDDR6,8192
TU117,NVIDIA,Turing,TSMC,2021-05-06,4.7,50,12,200.0,2.5,160.0,1065.0,1395.0,23.5,4.0,GDDR6,896
TU117,NVIDIA,Turing,TSMC,2021-05-06,4.7,50,12,200.0,2.5,160.0,1065.0,1395.0,23.5,8.0,GDDR6,896
TU117,NVIDIA,Turing,TSMC,2021-05-06,4.7,30,12,200.0,1.0944,80.0,420.0,1425.0,23.5,2.0,GDDR6,384
TU117,NVIDIA,Turing,TSMC,2021-05-06,4.7,30,12,200.0,1.0944,80.0,420.0,1425.0,23.5,4.0,GDDR6,384
TU117,NVIDIA,Turing,TSMC,2021-04-12,4.7,40,12,200.0,1.709,160.0,735.0,1335.0,23.5,4.0,GDDR6,640
TU117,NVIDIA,Turing,TSMC,2021-04-12,4.7,40,12,200.0,2.5,160.0,930.0,1395.0,23.5,4.0,GDDR6,896
TU117,NVIDIA,Turing,TSMC,2021-04-12,4.7,40,12,200.0,2.527,192.0,780.0,1410.0,23.5,4.0,GDDR6,896
Cezanne,AMD,GCN 5.1,TSMC,2021-04-13,9.8,45,7,180.0,1.3055999999999999,,300.0,1700.0,54.4,,System Shared,384
Aldebaran,AMD,CDNA 2.0,TSMC,2021-12-01,58.2,300,6,724.0,22.63,1640.0,1000.0,1700.0,80.4,64.0,HBM2e,6656
Aldebaran,AMD,CDNA 2.0,TSMC,2021-12-01,58.2,300,6,724.0,22.63,1640.0,1000.0,1700.0,80.4,64.0,HBM2e,6656
Aldebaran,AMD,CDNA 2.0,TSMC,2021-11-08,58.2,500,6,724.0,45.26,3280.0,1000.0,1700.0,80.4,128.0,HBM2e,13312
Aldebaran,AMD,CDNA 2.0,TSMC,2021-11-08,58.2,500,6,724.0,47.87,3280.0,1000.0,1700.0,80.4,128.0,HBM2e,14080
Navi 21,AMD,RDNA 2.0,TSMC,2021-11-04,26.8,300,7,520.0,20.28,512.0,1825.0,2200.0,51.5,32.0,GDDR6,4608
Navi 23,AMD,RDNA 2.0,TSMC,2021-06-08,11.06,100,7,237.0,9.247,224.0,2331.0,2580.0,46.7,8.0,GDDR6,1792
Navi 23,AMD,RDNA 2.0,TSMC,2021-06-08,11.06,90,7,237.0,7.29,224.0,1224.0,2034.0,46.7,8.0,GDDR6,1792
Navi 23,AMD,RDNA 2.0,TSMC,2021-08-03,11.06,120,7,237.0,10.15,256.0,2068.0,2479.0,46.7,8.0,GDDR6,2048
Navi 21,AMD,RDNA 2.0,TSMC,2021-06-08,26.8,250,7,520.0,17.83,512.0,1575.0,2322.0,51.5,32.0,GDDR6,3840
Navi 21,AMD,RDNA 2.0,TSMC,2021-08-03,26.8,200,7,520.0,16.03,512.0,1800.0,2087.0,51.5,32.0,GDDR6,3840
Navi 21,AMD,RDNA 2.0,TSMC,2021-08-03,26.8,400,7,520.0,15.11,512.0,1800.0,1967.0,51.5,32.0,GDDR6,3840
Navi 21,AMD,RDNA 2.0,TSMC,2021-08-03,26.8,300,7,520.0,22.23,512.0,1825.0,2171.0,51.5,32.0,GDDR6,5120
Navi 23,AMD,RDNA 2.0,TSMC,2021-10-13,11.06,132,7,237.0,8.928,224.0,1626.0,2491.0,46.7,8.0,GDDR6,1792
Navi 23,AMD,RDNA 2.0,TSMC,2021-07-30,11.06,160,7,237.0,10.6,256.0,1968.0,2589.0,46.7,8.0,GDDR6,2048
Navi 23,AMD,RDNA 2.0,TSMC,2021-05-31,11.06,100,7,237.0,8.659000000000002,224.0,2068.0,2416.0,46.7,8.0,GDDR6,1792
Navi 22,AMD,RDNA 2.0,TSMC,2021-06-09,17.2,175,7,335.0,11.29,320.0,1941.0,2450.0,51.3,10.0,GDDR6,2304
Navi 22,AMD,RDNA 2.0,TSMC,2021-03-03,17.2,230,7,335.0,13.21,384.0,2321.0,2581.0,51.3,12.0,GDDR6,2560
Navi 22,AMD,RDNA 2.0,TSMC,2021-05-31,17.2,135,7,335.0,11.06,320.0,1489.0,2400.0,51.3,10.0,GDDR6,2304
Navi 22,AMD,RDNA 2.0,TSMC,2021-05-31,17.2,145,7,335.0,12.24,384.0,2116.0,2390.0,51.3,12.0,GDDR6,2560
Arctic Sound,Intel,Generation 12.5,Intel,2021-01-01,8.0,350,10,190.0,11.06,1230.0,900.0,900.0,42.1,16.0,HBM2e,6144
Arctic Sound,Intel,Generation 12.5,Intel,2021-01-01,8.0,500,10,190.0,13.82,1230.0,900.0,900.0,42.1,16.0,HBM2e,7680
Rocket Lake,Intel,Generation 12.1,Intel,2021-01-01,,15,14,,0.2304,,300.0,900.0,,,System Shared,128
Raptor Lake,Intel,Generation 12.2,Intel,2023-01-03,,15,10,,0.5952000000000001,,300.0,1550.0,,,System Shared,192
Rocket Lake,Intel,Generation 12.1,Intel,2021-03-30,,15,14,,0.6656,,300.0,1300.0,,,System Shared,256
Raptor Lake,Intel,Generation 12.2,Intel,2022-09-27,,15,10,,0.7936,,300.0,1550.0,,,System Shared,256
Rocket Lake,Intel,Generation 12.1,Intel,2021-01-01,,15,14,,0.6656,,350.0,1300.0,,,System Shared,256
GA102,NVIDIA,Ampere,Samsung,2022-02-01,28.3,150,8,628.0,23.44,500.2,975.0,1635.0,45.1,20.0,GDDR6,7168
GA100,NVIDIA,Ampere,TSMC,2022-11-08,54.2,250,7,826.0,19.49,1560.0,765.0,1410.0,65.59999999999998,40.0,HBM2e,6912
GA100,NVIDIA,Ampere,TSMC,2022-11-08,54.2,250,7,826.0,19.49,1940.0,1065.0,1410.0,65.59999999999998,80.0,HBM2e,6912
GA100,NVIDIA,Ampere,TSMC,2022-08-11,54.2,400,7,826.0,19.49,2040.0,1155.0,1410.0,65.59999999999998,80.0,HBM2e,6912
TU117,NVIDIA,Turing,TSMC,2022-06-28,4.7,75,12,200.0,1.828,96.0,1740.0,1785.0,23.5,4.0,GDDR6,512
GA107,NVIDIA,Ampere,Samsung,2022-01-27,8.7,90,8,200.0,7.127,192.0,1545.0,1740.0,43.5,4.0,GDDR6,2048
GA106,NVIDIA,Ampere,Samsung,2022-01-04,12.0,130,8,276.0,9.098,224.0,1552.0,1777.0,43.5,8.0,GDDR6,2560
GA107,NVIDIA,Ampere,Samsung,2022-12-16,8.7,115,8,200.0,9.098,224.0,1552.0,1777.0,43.5,8.0,GDDR6,2560
GA107,NVIDIA,Ampere,Samsung,2022-07-06,8.7,35,8,200.0,4.608,176.0,757.0,1125.0,43.5,4.0,GDDR6,2048
GA107,NVIDIA,Ampere,Samsung,2022-07-06,8.7,35,8,200.0,5.069,132.0,622.0,990.0,43.5,6.0,GDDR6,2560
