Model,Manufacturer,Architecture,Foundry,ReleaseDate,TransistorCount_B,TDP_W,ProcessSize_nm,DieSize_mm2,TFLOPS,MemoryBandwidth_GBs,BaseClock_MHz,BoostClock_MHz,TransistorDensity_M_mm2,MemorySize_GB,MemoryType,ShadingUnits
GK110B,NVIDIA,Kepler,TSMC,2013-11-22,7.08,245,28,561.0,5.046,288.4,745.0,876.0,12.6,12.0,GDDR5,2880
GK110B,NVIDIA,Kepler,TSMC,2013-11-22,7.08,245,28,561.0,5.046,288.4,745.0,876.0,12.6,12.0,GDDR5,2880
GK110B,NVIDIA,Kepler,TSMC,2013-11-22,7.08,245,28,561.0,4.067,288.4,706.0,706.0,12.6,12.0,GDDR5,2880
GK110B,NVIDIA,Kepler,TSMC,2013-11-22,7.08,245,28,561.0,3.312,288.4,575.0,575.0,12.6,12.0,GDDR5,2880
GK110B,NVIDIA,Kepler,TSMC,2013-11-22,7.08,245,28,561.0,5.046,288.4,745.0,876.0,12.6,12.0,GDDR5,2880
Mars,AMD,GCN 1.0,TSMC,2013-10-16,0.95,,28,77.0,0.5146000000000001,64.0,670.0,670.0,12.3,2.0,GDDR5,384
Opal,AMD,GCN 1.0,TSMC,2013-10-16,0.95,,28,77.0,0.5491,64.0,715.0,715.0,12.3,1.0,GDDR5,384
Venus,AMD,GCN 1.0,TSMC,2013-10-16,1.5,,28,123.0,0.992,72.0,725.0,775.0,12.2,2.0,GDDR5,640
Emerald,AMD,GCN 2.0,TSMC,2014-05-27,2.08,,28,160.0,1.971,96.0,1100.0,1100.0,13.0,2.0,GDDR5,896
Pitcairn,AMD,GCN 1.0,TSMC,2013-02-25,2.8,150,28,212.0,1.2672,102.4,825.0,825.0,13.2,2.0,GDDR5,768
Pitcairn,AMD,GCN 1.0,TSMC,2013-02-25,2.8,75,28,212.0,1.2672,102.4,825.0,825.0,13.2,2.0,GDDR5,768
Liverpool,AMD,GCN 2.0,TSMC,2013-11-24,,75,28,348.0,1.843,176.0,800.0,800.0,,8.0,GDDR5,1152
Redwood,AMD,TeraScale 2,TSMC,2013-03-20,0.627,39,40,104.0,0.52,25.6,650.0,650.0,6.0,1.0,GDDR3,400
Juniper,AMD,TeraScale 2,TSMC,2013-04-19,1.04,86,40,166.0,1.008,21.34,700.0,700.0,6.3,2.0,GDDR3,720
Cypress,AMD,TeraScale 2,TSMC,2013-01-14,2.154,175,40,334.0,2.72,134.4,850.0,850.0,6.4,1.0,GDDR5,1600
Turks,AMD,TeraScale 2,TSMC,2013-02-01,0.716,39,40,118.0,0.416,21.34,650.0,650.0,6.1,1.0,GDDR3,320
Redwood,AMD,TeraScale 2,TSMC,2013-03-20,0.627,39,40,104.0,0.52,25.6,650.0,650.0,6.0,1.0,GDDR3,400
Thames,AMD,TeraScale 2,TSMC,2013-01-07,0.716,25,40,118.0,0.696,57.6,725.0,725.0,6.1,2.0,GDDR5,480
Barts,AMD,TeraScale 2,TSMC,2013-03-15,1.7,150,40,255.0,1.344,134.4,840.0,840.0,6.7,1.0,GDDR5,800
Cape Verde,AMD,GCN 1.0,TSMC,2013-05-01,1.5,47,28,123.0,0.6144,72.0,800.0,800.0,12.2,1.0,GDDR5,384
Bonaire,AMD,GCN 2.0,TSMC,2013-03-22,2.08,85,28,160.0,1.792,96.0,1000.0,1000.0,13.0,1.0,GDDR5,896
Tahiti,AMD,GCN 1.0,TSMC,2013-03-07,4.313,200,28,352.0,2.867,240.0,800.0,800.0,12.3,3.0,GDDR5,1792
Malta,AMD,GCN 1.0,TSMC,2013-04-24,4.313,375,28,365.0,4.096,288.0,950.0,1000.0,11.8,3.0,GDDR5,2048
